Player;Pos;Squad;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Salary
Daniel Bachmann;GK;Austria;26;1994;4;4;390;4.3;5;1.15;11;7;63.6;2;0;2;1;25.0;1;1;0;0;0.0;542908
Heorhiy Bushchan;GK;Ukraine;26;1994;5;5;480;5.3;10;1.87;24;13;58.3;2;0;3;0;0.0;1;0;1;0;100.0;1000000
Uğurcan Çakır;GK;Turkey;24;1996;3;3;270;3.0;8;2.67;25;18;68.0;0;0;3;0;0.0;1;0;0;1;0;80560
Thibaut Courtois;GK;Belgium;28;1992;5;5;450;5.0;3;0.60;15;12;80.0;4;0;1;3;60.0;0;0;0;0;0;7200000
Stole Dimitrievski;GK;North Macedonia;27;1993;3;3;270;3.0;8;2.67;21;13;61.9;0;0;3;0;0.0;1;0;1;0;100.0;4693890
Gianluigi Donnarumma;GK;Italy;21;1999;7;7;718;8.0;4;0.50;12;9;75.0;5;2;0;3;42.9;1;1;0;0;0.0;1934477
Martin Dúbravka;GK;Slovakia;32;1989;3;3;270;3.0;7;2.33;15;11;60.0;1;0;2;0;0.0;2;1;1;0;50.0;1844519
Péter Gulácsi;GK;Hungary;30;1990;3;3;270;3.0;6;2.00;16;11;68.8;0;2;1;0;0.0;1;1;0;0;0.0;2443916
Lukáš Hrádecký;GK;Finland;31;1989;3;3;270;3.0;3;1.00;15;13;80.0;1;0;2;1;33.3;1;0;1;0;100.0;4706006
Dominik Livaković;GK;Croatia;26;1995;4;4;390;4.3;8;1.85;15;8;53.3;1;1;2;0;0.0;1;1;0;0;0.0;1319499
Hugo Lloris;GK;France;34;1986;4;4;390;4.3;6;1.38;11;7;63.6;1;3;0;1;25.0;3;2;1;0;33.3;5200000
David Marshall;GK;Scotland;35;1985;3;3;270;3.0;5;1.67;15;10;66.7;0;1;2;1;33.3;0;0;0;0;0;3160685
Manuel Neuer;GK;Germany;34;1986;4;4;360;4.0;7;1.75;10;4;30.0;1;1;2;0;0.0;0;0;0;0;0;18000000
Robin Olsen;GK;Sweden;31;1990;4;4;390;4.3;4;0.92;15;11;73.3;2;1;1;2;50.0;0;0;0;0;0;1700466
Rui Patrício;GK;Portugal;32;1988;4;4;360;4.0;7;1.75;15;10;60.0;1;1;2;1;25.0;1;1;0;0;0.0;536197
Jordan Pickford;GK;England;26;1994;7;7;690;7.7;2;0.26;17;14;88.2;5;2;0;5;71.4;0;0;0;0;0;4066885
Matvei Safonov;GK;Russia;21;1999;2;2;180;2.0;4;2.00;10;6;60.0;1;0;1;1;50.0;0;0;0;0;0;3247095
Kasper Schmeichel;GK;Denmark;34;1986;6;6;570;6.3;7;1.11;21;16;71.4;3;0;3;1;16.7;2;1;1;0;50.0;4908754
Anton Shunin;GK;Russia;34;1987;1;1;90;1.0;3;3.00;4;1;25.0;0;0;1;0;0.0;0;0;0;0;0;2764107
Unai Simón;GK;Spain;23;1997;6;6;630;7.0;6;0.86;14;9;57.1;2;4;0;2;33.3;0;0;0;0;0;158400
Salvatore Sirigu;GK;Italy;34;1987;1;0;2;0.0;0;0.00;0;0;;0;0;0;1;;0;0;0;0;0;1577605
Yann Sommer;GK;Switzerland;32;1988;5;5;510;5.7;9;1.59;30;22;70.0;1;3;1;0;0.0;0;0;0;0;0;2410715
Maarten Stekelenburg;GK;Netherlands;38;1982;4;4;360;4.0;4;1.00;12;8;66.7;3;0;1;2;50.0;0;0;0;0;0;1875602
Wojciech Szczęsny;GK;Poland;30;1990;3;3;270;3.0;6;2.00;11;6;45.5;0;1;2;0;0.0;1;0;0;1;0;2279906
Tomáš Vaclík;GK;Czech Republic;31;1989;5;5;450;5.0;4;0.80;16;11;75.0;2;1;2;2;40.0;0;0;0;0;0;3253154
Danny Ward;GK;Wales;27;1993;4;4;360;4.0;6;1.50;24;18;75.0;1;1;2;1;25.0;0;0;0;0;0;2248694